# HfO 5% from NIST Database
1.05e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e+00 1.06e-01 3.50e+00 0.00e+00 0.00e+00
8.00e+00 8.48e-01 3.50e+00 0.00e+00 0.00e+00
7.20e+01 4.59e-02 3.50e+00 0.00e+00 0.00e+00
0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e-03 8.47e-01 4.81e-02 1.78e+02 0.00e+00
1.50e-03 7.78e-01 9.41e-02 7.59e+01 0.00e+00
1.66e-03 7.54e-01 1.10e-01 6.07e+01 0.00e+00
1.66e-03 7.54e-01 1.10e-01 7.37e+01 0.00e+00
1.69e-03 7.50e-01 1.12e-01 1.06e+02 0.00e+00
1.72e-03 7.46e-01 1.15e-01 1.53e+02 0.00e+00
1.72e-03 7.46e-01 1.15e-01 1.72e+02 0.00e+00
2.00e-03 7.06e-01 1.41e-01 1.68e+02 0.00e+00
2.11e-03 6.91e-01 1.51e-01 1.47e+02 0.00e+00
2.11e-03 6.91e-01 1.51e-01 1.70e+02 0.00e+00
2.23e-03 6.73e-01 1.62e-01 1.48e+02 0.00e+00
2.37e-03 6.56e-01 1.73e-01 1.29e+02 0.00e+00
2.37e-03 6.56e-01 1.73e-01 1.37e+02 0.00e+00
2.48e-03 6.41e-01 1.82e-01 1.22e+02 0.00e+00
2.60e-03 6.27e-01 1.91e-01 1.10e+02 0.00e+00
2.60e-03 6.27e-01 1.91e-01 1.14e+02 0.00e+00
3.00e-03 5.80e-01 2.18e-01 8.18e+01 0.00e+00
4.00e-03 4.84e-01 2.67e-01 4.07e+01 0.00e+00
5.00e-03 4.13e-01 2.96e-01 2.34e+01 0.00e+00
6.00e-03 3.57e-01 3.14e-01 1.47e+01 0.00e+00
8.00e-03 2.77e-01 3.34e-01 7.02e+00 0.00e+00
9.56e-03 2.32e-01 3.42e-01 4.41e+00 0.00e+00
9.56e-03 2.32e-01 3.42e-01 1.16e+01 0.00e+00
1.00e-02 2.21e-01 3.43e-01 1.04e+01 0.00e+00
1.07e-02 2.05e-01 3.45e-01 8.53e+00 0.00e+00
1.07e-02 2.05e-01 3.45e-01 1.17e+01 0.00e+00
1.10e-02 2.00e-01 3.46e-01 1.11e+01 0.00e+00
1.13e-02 1.95e-01 3.46e-01 1.04e+01 0.00e+00
1.13e-02 1.95e-01 3.46e-01 1.20e+01 0.00e+00
1.50e-02 1.39e-01 3.49e-01 5.79e+00 0.00e+00
2.00e-02 9.66e-02 3.48e-01 2.70e+00 0.00e+00
3.00e-02 5.62e-02 3.41e-01 9.06e-01 0.00e+00
4.00e-02 3.67e-02 3.32e-01 4.12e-01 0.00e+00
5.00e-02 2.58e-02 3.23e-01 2.22e-01 0.00e+00
6.00e-02 1.93e-02 3.14e-01 1.34e-01 0.00e+00
6.54e-02 1.68e-02 3.10e-01 1.06e-01 0.00e+00
6.54e-02 1.68e-02 3.10e-01 5.47e-01 0.00e+00
8.00e-02 1.21e-02 2.99e-01 3.21e-01 0.00e+00
1.00e-01 8.25e-03 2.85e-01 1.78e-01 0.00e+00
1.50e-01 4.02e-03 2.57e-01 5.94e-02 0.00e+00
2.00e-01 2.39e-03 2.35e-01 2.71e-02 0.00e+00
3.00e-01 1.13e-03 2.05e-01 9.14e-03 0.00e+00
4.00e-01 6.56e-04 1.84e-01 4.34e-03 0.00e+00
5.00e-01 4.28e-04 1.68e-01 2.50e-03 0.00e+00
6.00e-01 3.01e-04 1.55e-01 1.62e-03 0.00e+00
8.00e-01 1.72e-04 1.36e-01 8.54e-04 0.00e+00
1.00e+00 1.11e-04 1.23e-01 5.36e-04 0.00e+00
1.02e+00 1.06e-04 1.21e-01 5.13e-04 0.00e+00
1.25e+00 7.14e-05 1.10e-01 3.46e-04 1.87e-05
1.50e+00 4.98e-05 9.96e-02 2.47e-04 9.14e-05
2.00e+00 2.81e-05 8.50e-02 1.49e-04 3.08e-04
2.04e+00 2.69e-05 8.40e-02 1.44e-04 3.28e-04
3.00e+00 1.25e-05 6.69e-02 7.85e-05 7.90e-04
4.00e+00 7.06e-06 5.58e-02 5.15e-05 1.27e-03
5.00e+00 4.52e-06 4.82e-02 3.79e-05 1.71e-03
6.00e+00 3.14e-06 4.26e-02 2.97e-05 2.13e-03
7.00e+00 2.31e-06 3.83e-02 2.44e-05 2.50e-03
8.00e+00 1.77e-06 3.48e-02 2.06e-05 2.85e-03
9.00e+00 1.40e-06 3.20e-02 1.79e-05 3.17e-03
1.00e+01 1.13e-06 2.97e-02 1.57e-05 3.46e-03
1.10e+01 9.35e-07 2.77e-02 1.40e-05 3.73e-03
1.20e+01 7.86e-07 2.60e-02 1.27e-05 3.99e-03
1.30e+01 6.70e-07 2.45e-02 1.15e-05 4.23e-03
1.40e+01 5.77e-07 2.31e-02 1.06e-05 4.45e-03
1.50e+01 5.03e-07 2.20e-02 9.79e-06 4.66e-03
1.60e+01 4.42e-07 2.09e-02 9.10e-06 4.86e-03
1.80e+01 3.49e-07 1.91e-02 7.97e-06 5.23e-03
2.00e+01 2.83e-07 1.76e-02 7.09e-06 5.56e-03    
