# HfO 10% from NIST Database				
1.10e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e+00 1.01e-01 3.50e+00 0.00e+00 0.00e+00
8.00e+00 8.08e-01 3.50e+00 0.00e+00 0.00e+00
7.20e+01 9.18e-02 3.50e+00 0.00e+00 0.00e+00
0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e-03 1.35e+00 4.58e-02 3.49e+02 0.00e+00
1.50e-03 1.26e+00 8.96e-02 1.50e+02 0.00e+00
1.66e-03 1.23e+00 1.04e-01 1.20e+02 0.00e+00
1.66e-03 1.23e+00 1.04e-01 1.46e+02 0.00e+00
1.69e-03 1.22e+00 1.07e-01 2.11e+02 0.00e+00
1.72e-03 1.22e+00 1.09e-01 3.06e+02 0.00e+00
1.72e-03 1.22e+00 1.09e-01 3.43e+02 0.00e+00
2.00e-03 1.16e+00 1.35e-01 3.36e+02 0.00e+00
2.11e-03 1.14e+00 1.44e-01 2.94e+02 0.00e+00
2.11e-03 1.14e+00 1.44e-01 3.40e+02 0.00e+00
2.23e-03 1.12e+00 1.54e-01 2.96e+02 0.00e+00
2.37e-03 1.10e+00 1.64e-01 2.57e+02 0.00e+00
2.37e-03 1.10e+00 1.64e-01 2.73e+02 0.00e+00
2.48e-03 1.08e+00 1.73e-01 2.45e+02 0.00e+00
2.60e-03 1.06e+00 1.82e-01 2.19e+02 0.00e+00
2.60e-03 1.06e+00 1.82e-01 2.28e+02 0.00e+00
3.00e-03 9.94e-01 2.08e-01 1.63e+02 0.00e+00
4.00e-03 8.56e-01 2.54e-01 8.14e+01 0.00e+00
5.00e-03 7.45e-01 2.82e-01 4.67e+01 0.00e+00
6.00e-03 6.55e-01 3.00e-01 2.94e+01 0.00e+00
8.00e-03 5.17e-01 3.19e-01 1.40e+01 0.00e+00
9.56e-03 4.37e-01 3.26e-01 8.82e+00 0.00e+00
9.56e-03 4.37e-01 3.26e-01 2.31e+01 0.00e+00
1.00e-02 4.18e-01 3.28e-01 2.08e+01 0.00e+00
1.07e-02 3.88e-01 3.30e-01 1.71e+01 0.00e+00
1.07e-02 3.88e-01 3.30e-01 2.34e+01 0.00e+00
1.10e-02 3.79e-01 3.30e-01 2.21e+01 0.00e+00
1.13e-02 3.69e-01 3.31e-01 2.08e+01 0.00e+00
1.13e-02 3.69e-01 3.31e-01 2.41e+01 0.00e+00
1.50e-02 2.66e-01 3.35e-01 1.16e+01 0.00e+00
2.00e-02 1.87e-01 3.34e-01 5.41e+00 0.00e+00
3.00e-02 1.09e-01 3.28e-01 1.81e+00 0.00e+00
4.00e-02 7.16e-02 3.20e-01 8.24e-01 0.00e+00
5.00e-02 5.05e-02 3.11e-01 4.45e-01 0.00e+00
6.00e-02 3.78e-02 3.03e-01 2.68e-01 0.00e+00
6.54e-02 3.30e-02 2.99e-01 2.11e-01 0.00e+00
6.54e-02 3.30e-02 2.99e-01 1.09e+00 0.00e+00
8.00e-02 2.37e-02 2.89e-01 6.42e-01 0.00e+00
1.00e-01 1.62e-02 2.75e-01 3.56e-01 0.00e+00
1.50e-01 7.91e-03 2.49e-01 1.19e-01 0.00e+00
2.00e-01 4.71e-03 2.28e-01 5.43e-02 0.00e+00
3.00e-01 2.23e-03 1.99e-01 1.83e-02 0.00e+00
4.00e-01 1.30e-03 1.78e-01 8.69e-03 0.00e+00
5.00e-01 8.45e-04 1.63e-01 5.00e-03 0.00e+00
6.00e-01 5.94e-04 1.50e-01 3.25e-03 0.00e+00
8.00e-01 3.39e-04 1.32e-01 1.71e-03 0.00e+00
1.00e+00 2.19e-04 1.19e-01 1.07e-03 0.00e+00
1.02e+00 2.10e-04 1.18e-01 1.03e-03 0.00e+00
1.25e+00 1.41e-04 1.06e-01 6.92e-04 3.27e-05
1.50e+00 9.84e-05 9.66e-02 4.93e-04 1.57e-04
2.00e+00 5.56e-05 8.25e-02 2.99e-04 5.11e-04
2.04e+00 5.32e-05 8.14e-02 2.88e-04 5.44e-04
3.00e+00 2.48e-05 6.49e-02 1.57e-04 1.25e-03
4.00e+00 1.40e-05 5.41e-02 1.03e-04 1.95e-03
5.00e+00 8.94e-06 4.67e-02 7.58e-05 2.57e-03
6.00e+00 6.21e-06 4.13e-02 5.95e-05 3.14e-03
7.00e+00 4.56e-06 3.71e-02 4.88e-05 3.65e-03
8.00e+00 3.49e-06 3.38e-02 4.13e-05 4.12e-03
9.00e+00 2.76e-06 3.11e-02 3.57e-05 4.55e-03
1.00e+01 2.24e-06 2.88e-02 3.15e-05 4.94e-03
1.10e+01 1.85e-06 2.68e-02 2.81e-05 5.31e-03
1.20e+01 1.55e-06 2.52e-02 2.53e-05 5.65e-03
1.30e+01 1.32e-06 2.37e-02 2.31e-05 5.97e-03
1.40e+01 1.14e-06 2.24e-02 2.12e-05 6.27e-03
1.50e+01 9.94e-07 2.13e-02 1.96e-05 6.56e-03
1.60e+01 8.74e-07 2.03e-02 1.82e-05 6.82e-03
1.80e+01 6.90e-07 1.85e-02 1.59e-05 7.30e-03
2.00e+01 5.59e-07 1.71e-02 1.42e-05 7.74e-03   
