# HfO 2% from NIST Database
1.02e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e+00 1.10e-01 3.50e+00 0.00e+00 0.00e+00
8.00e+00 8.72e-01 3.50e+00 0.00e+00 0.00e+00
7.20e+01 1.84e-02 3.50e+00 0.00e+00 0.00e+00
0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00
1.00e-03 5.47e-01 4.94e-02 7.53e+01 0.00e+00
1.50e-03 4.90e-01 9.68e-02 3.14e+01 0.00e+00
1.66e-03 4.71e-01 1.13e-01 2.50e+01 0.00e+00
1.66e-03 4.71e-01 1.13e-01 3.02e+01 0.00e+00
1.69e-03 4.67e-01 1.16e-01 4.31e+01 0.00e+00
1.72e-03 4.64e-01 1.18e-01 6.20e+01 0.00e+00
1.72e-03 4.64e-01 1.18e-01 6.95e+01 0.00e+00
2.00e-03 4.31e-01 1.45e-01 6.76e+01 0.00e+00
2.11e-03 4.19e-01 1.55e-01 5.92e+01 0.00e+00
2.11e-03 4.19e-01 1.55e-01 6.85e+01 0.00e+00
2.23e-03 4.05e-01 1.66e-01 5.95e+01 0.00e+00
2.37e-03 3.90e-01 1.78e-01 5.17e+01 0.00e+00
2.37e-03 3.90e-01 1.78e-01 5.49e+01 0.00e+00
2.48e-03 3.79e-01 1.87e-01 4.92e+01 0.00e+00
2.60e-03 3.67e-01 1.96e-01 4.40e+01 0.00e+00
2.60e-03 3.67e-01 1.96e-01 4.59e+01 0.00e+00
3.00e-03 3.31e-01 2.24e-01 3.28e+01 0.00e+00
4.00e-03 2.61e-01 2.74e-01 1.63e+01 0.00e+00
5.00e-03 2.13e-01 3.04e-01 9.36e+00 0.00e+00
6.00e-03 1.79e-01 3.23e-01 5.90e+00 0.00e+00
8.00e-03 1.33e-01 3.43e-01 2.81e+00 0.00e+00
9.56e-03 1.09e-01 3.51e-01 1.77e+00 0.00e+00
9.56e-03 1.09e-01 3.51e-01 4.62e+00 0.00e+00
1.00e-02 1.03e-01 3.52e-01 4.16e+00 0.00e+00
1.07e-02 9.50e-02 3.54e-01 3.41e+00 0.00e+00
1.07e-02 9.50e-02 3.54e-01 4.69e+00 0.00e+00
1.10e-02 9.23e-02 3.55e-01 4.42e+00 0.00e+00
1.13e-02 8.97e-02 3.55e-01 4.17e+00 0.00e+00
1.13e-02 8.97e-02 3.55e-01 4.82e+00 0.00e+00
1.50e-02 6.25e-02 3.58e-01 2.32e+00 0.00e+00
2.00e-02 4.27e-02 3.57e-01 1.08e+00 0.00e+00
3.00e-02 2.43e-02 3.49e-01 3.63e-01 0.00e+00
4.00e-02 1.57e-02 3.39e-01 1.65e-01 0.00e+00
5.00e-02 1.10e-02 3.30e-01 8.89e-02 0.00e+00
6.00e-02 8.17e-03 3.21e-01 5.36e-02 0.00e+00
6.54e-02 7.11e-03 3.16e-01 4.22e-02 0.00e+00
6.54e-02 7.11e-03 3.16e-01 2.19e-01 0.00e+00
8.00e-02 5.08e-03 3.05e-01 1.28e-01 0.00e+00
1.00e-01 3.47e-03 2.90e-01 7.12e-02 0.00e+00
1.50e-01 1.68e-03 2.62e-01 2.38e-02 0.00e+00
2.00e-01 9.97e-04 2.40e-01 1.09e-02 0.00e+00
3.00e-01 4.71e-04 2.09e-01 3.66e-03 0.00e+00
4.00e-01 2.73e-04 1.87e-01 1.74e-03 0.00e+00
5.00e-01 1.78e-04 1.71e-01 1.00e-03 0.00e+00
6.00e-01 1.25e-04 1.58e-01 6.50e-04 0.00e+00
8.00e-01 7.13e-05 1.39e-01 3.42e-04 0.00e+00
1.00e+00 4.60e-05 1.25e-01 2.15e-04 0.00e+00
1.02e+00 4.41e-05 1.24e-01 2.05e-04 0.00e+00
1.25e+00 2.96e-05 1.12e-01 1.38e-04 1.03e-05
1.50e+00 2.07e-05 1.01e-01 9.87e-05 5.23e-05
2.00e+00 1.17e-05 8.66e-02 5.98e-05 1.86e-04
2.04e+00 1.12e-05 8.55e-02 5.77e-05 1.99e-04
3.00e+00 5.20e-06 6.81e-02 3.14e-05 5.11e-04
4.00e+00 2.93e-06 5.68e-02 2.06e-05 8.60e-04
5.00e+00 1.88e-06 4.91e-02 1.52e-05 1.20e-03
6.00e+00 1.30e-06 4.34e-02 1.19e-05 1.52e-03
7.00e+00 9.57e-07 3.90e-02 9.76e-06 1.81e-03
8.00e+00 7.33e-07 3.55e-02 8.26e-06 2.08e-03
9.00e+00 5.79e-07 3.26e-02 7.15e-06 2.34e-03
1.00e+01 4.69e-07 3.02e-02 6.29e-06 2.57e-03
1.10e+01 3.88e-07 2.82e-02 5.62e-06 2.79e-03
1.20e+01 3.26e-07 2.64e-02 5.07e-06 2.99e-03
1.30e+01 2.78e-07 2.49e-02 4.62e-06 3.18e-03
1.40e+01 2.39e-07 2.36e-02 4.24e-06 3.36e-03
1.50e+01 2.09e-07 2.24e-02 3.92e-06 3.53e-03
1.60e+01 1.83e-07 2.13e-02 3.64e-06 3.69e-03
1.80e+01 1.45e-07 1.95e-02 3.19e-06 3.98e-03
2.00e+01 1.17e-07 1.79e-02 2.84e-06 4.25e-03   
